date,bc_aod_regional,temperature_c,total_precip_mm,snowfall_mm,rainfall_mm,year,month,day_of_year,albedo_mean,predicted_albedo,residuals,leverage,cooks_distance,studentized_residuals
2023-06-27,0.00937559717,11.73964717,9.310850501,0.0,9.310850501,2023,6,178,0.32575,0.2736941537520324,0.05205584624796761,0.017954859281219978,0.0006173404609894688,0.4108867113196169
2024-07-11,0.009365917475,19.15373446,0.630545616,0.0,0.630545616,2024,7,193,0.4188040735583004,0.2722553337875813,0.14654873977071908,0.015674926307351424,0.00425166662731842,1.1553967042895097
2022-08-17,0.009296873223,16.08934491,0.08581578732,0.0,0.08581578732,2022,8,229,0.26261659229104134,0.2855383536172732,-0.02292176132623186,0.008524380891811642,5.575211624878457e-05,-0.18006332971769484
2024-09-03,0.009189503059,13.31768951,0.7797658443,0.0,0.7797658443,2024,9,247,0.17338534413913004,0.29400117598447933,-0.1206158318453493,0.004697493751641041,0.0008441726251718519,-0.9456819020477633
2022-09-16,0.0091573797,7.308067576,0.9756056688,0.0,0.9756056688,2022,9,259,0.22299999999999998,0.3160561716290568,-0.09305617162905683,0.007688491005936038,0.0008273743122682212,-0.7307006229386358
2023-07-20,0.008902992886,13.65846723,3.693346048,0.0,3.693346048,2023,7,201,0.19802696277583562,0.28424616376890166,-0.08621920099306604,0.0058104208023954705,0.0005347413604479093,-0.6763752396402113
2023-06-04,0.008828128021,11.99387894,1.873895526,0.0,1.873895526,2023,6,155,0.34299999999999997,0.29615404433866693,0.04684595566133304,0.0038040946145571357,0.00010293726562276562,0.3671284469675496
2023-08-28,0.008820150089,15.27420705,0.0,0.0,0.0,2023,8,240,0.1786960851383829,0.28953279307704977,-0.11083670793866687,0.007344867601655717,0.0011205236800860008,-0.8701672461089983
2024-07-16,0.008770790994,16.93872477,0.6942391395,0.0,0.6942391395,2024,7,198,0.3669900157604643,0.2812259464789832,0.08576406928148111,0.009982445727263901,0.0009167027651758687,0.6742209476016847
2022-08-23,0.008764293017,13.40007362,19.45625544,0.0,19.45625544,2022,8,235,0.2541818181818182,0.2374034647758947,0.016778353405923485,0.08842500767560225,0.00036656888041095215,0.1374584513967703
2022-09-07,0.008667438013,13.34260203,0.1064534696,0.0,0.1064534696,2022,9,250,0.1470613358126009,0.29668831779638527,-0.14962698198378438,0.0052439985811279085,0.0014518303744054288,-1.1734644642755718
2024-08-18,0.008559821452,12.01229375,0.2295464277,0.0,0.2295464277,2024,8,231,0.16121832741687742,0.3014681813381536,-0.1402498539212762,0.004615081455291028,0.0011211628773324337,-1.0995758673837908
2024-07-12,0.008291508655,15.61632309,1.430505514,0.0,1.430505514,2024,7,194,0.4156842298513376,0.28462835647760726,0.13105587337373037,0.007409861241123193,0.0015807011057072994,1.0289394560701104
2022-08-25,0.008271174019,11.47929471,11.38108373,0.0,11.38108373,2022,8,237,0.2374166666666667,0.26991292842548276,-0.032496261758816064,0.027333932258437457,0.00037334299563689154,-0.2577328830693236
2022-08-11,0.008216788881,17.29612185,0.2083569765,0.0,0.2083569765,2022,8,223,0.3173973159136466,0.28213618962547743,0.03526112628816919,0.011074357545866368,0.00017228610047139968,0.2773528745503175
2024-07-14,0.008133862543,16.11104546,0.8390635252,0.0,0.8390635252,2024,7,196,0.33495673191179987,0.2847891732876173,0.05016755862418254,0.008390587109155662,0.00026279894600914533,0.3940678067885442
